250 10 6
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 1 5 10 15 20 25 
8 1000 1e+06 250 1024 4 1 1 2 2 1802.57 1806.17 1826.6 1793.41 1841.38 1749.99 
16 250 62500 63 4 1024 0 0 0 2 236.033 837.903 905.018 1092.98 1099.21 1109.32 
2 500 250000 125 4 1024 0 0 2 2 1586.02 1557.86 1548.88 1573.64 1512.58 1473.91 
6 100 1.99e+06 4 64 64 1 1 2 2 27543.6 14312.1 14281 14391.3 14311.7 14440.3 
2 1000 1e+06 250 4 1024 0 0 2 2 1163.78 1173.19 1164.32 1118.44 1143.57 1121.18 
2 500 250000 125 4 1024 0 0 0 2 1958.21 1993.74 2006.44 1978.91 1912.02 1953.41 
8 500 2.4975e+08 64 64 64 0 0 2 2 63507.5 51403.5 30699.1 29804.6 24124.7 20407.7 
14 100 1.99e+06 4 64 64 1 1 2 2 24982.9 13235.1 13455.7 13389.6 13268.3 13435.3 
2 7500 8.43694e+11 900 256 256 0 0 2 2 26492.2 26535.8 26548.8 26542.6 26563.5 26581.2 
10 750 562500 144 64 64 1 0 2 2 2258.76 2412.83 2110.17 1707.19 1538.6 1429.74 
8 750 562500 144 64 64 0 1 2 2 2788.66 2850.16 2835.78 2143.27 1629.81 1740.02 
14 7500 8.43694e+11 900 256 256 1 1 2 2 160299 159369 157974 157739 142413 147063 
14 750 562500 188 4 1024 0 0 0 2 2584.47 2876.28 2542.98 3886.84 2775.96 2140.51 
12 750 562500 144 64 64 0 1 2 2 2431.92 2324.32 1849.89 1775.03 1483.58 1348.92 
4 750 562500 188 1024 4 1 1 2 2 2753.53 2755.69 2791.83 2710.4 2569.75 3009.3 
2 1000 1.999e+09 256 64 64 0 0 2 2 12587.2 12547.9 12654 12638.8 12529.6 12595.1
2 250 62500 63 4 1024 0 0 2 2 946.378 910.929 889.086 1071.68 1027.42 1014.48 
8 1000 1e+06 250 4 1024 0 0 0 2 5065.56 5350.01 5160.13 5214.24 5114.71 4495.27 
2 250 62500 63 4 1024 0 0 2 2 942.445 954.251 903.601 1076.91 1015.55 1037.06 
8 750 562500 188 4 1024 0 0 2 2 3914.91 3832.34 3926.03 3936 3309.53 2917.79 
14 1000 1.999e+09 256 64 64 1 1 2 2 71527.3 70861.6 70589.9 46951.5 35518.8 31733.9 
10 10000 1.9999e+12 1600 256 256 1 1 2 2 116487 117485 117862 117045 117463 117263 
12 250 3.11875e+07 16 64 64 1 1 2 2 62151.8 25564.7 13992.3 9526.55 8927.07 8985.71 
